"Experiment","Role","Path","Bytes","Modified"
"10","Rhino model","output/_backups/three-resort-terrain-options-before-visibility-v3.3dm","4857856","2026-09-10 16:22:20"
"11","Code / configuration","phase2/checker.py","1920","2026-09-14 14:32:26"
"11","Code / configuration","phase2/geometry.py","3354","2026-09-14 14:32:26"
"11","Code / configuration","phase2/model_geometry.py","14177","2026-09-14 14:44:39"
"11","Code / configuration","phase2/run_phase2.py","5137","2026-09-14 14:47:03"
"11","Code / configuration","phase2/solver.py","5643","2026-09-14 14:32:26"
"11","Code / configuration","phase2/tests/rhino_integration.py","7185","2026-09-14 14:44:00"
"11","Code / configuration","phase2/tests/test_phase2.py","3342","2026-09-14 14:36:09"
"11","Data / report","output/checks/phase2/20260914-143915-064904/report.json","396408","2026-09-14 14:39:15"
"11","Data / report","output/checks/phase2/integration-20260914-144100/tests.json","711","2026-09-14 14:41:01"
"11","Data / report","output/checks/phase2/integration-20260914-144442/tests.json","807","2026-09-14 14:44:49"
"11","Document / other","output/checks/phase2/20260914-143915-064904/0b0340ce-1d04-4091-a8bb-19e0fcdafe8f.svg","11520","2026-09-14 14:39:15"
"11","Document / other","output/checks/phase2/20260914-143915-064904/0cb74199-2110-4dcd-9c1b-020b6b2f3ffd.svg","11481","2026-09-14 14:39:15"
"11","Document / other","output/checks/phase2/20260914-143915-064904/1bc22989-bcac-49f9-ab24-043a1ced3e9e.svg","11520","2026-09-14 14:39:15"
"11","Document / other","output/checks/phase2/20260914-143915-064904/5c727e6c-44ba-4c8b-8b61-498233663b52.svg","11481","2026-09-14 14:39:15"
"11","Document / other","output/checks/phase2/20260914-143915-064904/d5771089-0cee-4904-ae2c-510d88e2f985.svg","11505","2026-09-14 14:39:15"
"11","Document / other","output/checks/phase2/20260914-143915-064904/d8a98b7f-7450-4503-bcf9-33b1a566231a.svg","11505","2026-09-14 14:39:15"
"11","Document / other","output/checks/phase2/20260914-143915-064904/index.html","1932","2026-09-14 14:48:50"
"11","Document / other","output/checks/phase2/README.md","1432","2026-09-14 14:48:50"
"11","Document / other","phase2/__pycache__/checker.cpython-312.pyc","3595","2026-09-14 14:36:10"
"11","Document / other","phase2/__pycache__/checker.cpython-39.pyc","1933","2026-09-14 14:36:12"
"11","Document / other","phase2/__pycache__/geometry.cpython-312.pyc","10192","2026-09-14 14:36:10"
"11","Document / other","phase2/__pycache__/geometry.cpython-39.pyc","6589","2026-09-14 14:36:12"
"11","Document / other","phase2/__pycache__/model_geometry.cpython-39.pyc","17763","2026-09-14 14:44:42"
"11","Document / other","phase2/__pycache__/solver.cpython-312.pyc","11037","2026-09-14 14:36:10"
"11","Document / other","phase2/__pycache__/solver.cpython-39.pyc","6495","2026-09-14 14:36:12"
"11","Document / other","phase2/README.md","5404","2026-09-14 15:31:07"
"11","Document / other","phase2/tests/__pycache__/test_phase2.cpython-312.pyc","9135","2026-09-14 14:36:10"
"11","Rhino model","output/checks/phase2/integration-20260914-144100/before-phase2-bf859109-6888-4407-b7e2-f30731024474.3dm","32768","2026-09-14 14:41:00"
"11","Rhino model","output/checks/phase2/integration-20260914-144100/before-phase2-ca0b5bf5-544a-43dc-b012-62bea81688d0.3dm","32768","2026-09-14 14:41:00"
"11","Rhino model","output/checks/phase2/integration-20260914-144442/before-phase2-257c30af-724a-4526-a08e-0b606160d77f.3dm","8491008","2026-09-14 14:44:47"
"11","Rhino model","output/checks/phase2/integration-20260914-144442/before-phase2-66499602-b556-4e51-b5a8-5aa05f3f7891.3dm","32768","2026-09-14 14:44:42"
"11","Rhino model","output/checks/phase2/integration-20260914-144442/before-phase2-9d61fddd-e377-4531-8ae6-6c21df849aa8.3dm","32768","2026-09-14 14:44:42"
"11","Rhino model","output/checks/phase2/integration-20260914-144442/live-model-test-copy.3dm","8589312","2026-09-14 14:44:44"
"12","Code / configuration","view_elevation/core.py","9325","2026-09-14 15:21:56"
"12","Code / configuration","view_elevation/export_rhino.py","2202","2026-09-14 15:21:56"
"12","Code / configuration","view_elevation/render_plan_guides.py","1607","2026-09-14 15:56:43"
"12","Code / configuration","view_elevation/run.py","3496","2026-09-14 15:24:00"
"12","Code / configuration","view_elevation/tests/test_views.py","2592","2026-09-14 15:25:37"
"12","Code / configuration","view_elevation/verify.py","3080","2026-09-14 15:24:00"
"12","Data / report","output/checks/view-elevation/20260914-152538/report.json","2400693","2026-09-14 15:26:22"
"12","Data / report","output/checks/view-elevation/input-20260914-152159.json","711142","2026-09-14 15:21:59"
"12","Data / report","output/checks/view-elevation/input-20260914-153018.json","711142","2026-09-14 15:30:19"
